012.208-0.101	012.208-0.101, [GPD88] 012.208-0.101, 
01222-0012	 01222-0012,
03114-0022	 03114-0022,
03210-0008	 03210-0008,
189.0+03.2	189.0+03.2, [WMG70] 189.0+03.2, 
189.0+03.2	[WMG70]_189.0+03.2, 189.0+03.2, 
2MASS0904-2810	 J0904-2810,
75.78+0.34	 75.78+0.34, 
75.83+0.4	 75.83+0.4, 
A1909589	A1909589, 
A1910176	A1910176, 
A1910226	A1910226, 
A1921151	A1921151, 
AAVSO1616-17	 NOVA Sco 1999, BD-17 4554, NOVA Sco 1945, NOVA Sco 1936, NOVA Sco 1969, NOVA Sco 1987, NOVA Sco 1979, NOVA Sco 1863, V* U Sco, AAVSO 1616-17, 
ABCyg	 IRC +30476, AB Cyg,
AFGL2136	 RAFGL 2136, GAL 017.64+00.15, IRAS 18196-1331, 2MASS J18222658-1330157, MSX5C G017.6369+00.1568, OH 17.6 +0.2, 
AFGL4029	 NAME W 5 EAST, IC 1848A, NAME SFO 14 IR CLUSTER, NAME IRAS 02575+6017 CLUSTER, NAME AFGL 4029 CLUSTER, OCl 369, Pottasch IC 1848 A, RAFGL 4029, SFO 14, W 5E, W 5A, BDB2003 G138.30+01.56, KCW94 138.295+01.555, LBT89 IC 1848A, 
AFGL490	AFGL490, 
AF_Cyg	AF Cyg, IRC +50297, 
AH_Cyg	AH Cyg, IRC +40372, 
AH_Sco	AH Sco, 
AI_Cmi	AI Cmi, 
AN_Cet	AN Cet, 
AN_Peg	 V* AN Peg, AN 18.1926, AAVSO 2106+12, 
AR_Eri	 V* AR Eri, AN 433.1934, 2MASS J05110256-0513478, TYC 4759-1674-1, UCAC2 29956340, 
AXJ1808.6-2024	 AX J1808.6-2024, AJG 74, GRS 010.00 -00.30, SNR G010.1-00.3, SNR G010.0-00.3, 
Al_Ari	Al Ari, 2MASS J02423634+1244078, 
B1926037	B1926037, 
B335IRS	 B335IRS,
BBRW_S206A	BBRW_S206A, 
BC_CVn	2MASS J12120664+3859360, BC CVn, 
BC_Cap	BC Cap, 
BRAN22	BRAN22, 
BR_Lyr	 V* BR Lyr, AN 352.1928, CSI+30-19069, GCRV 69116, AAVSO 1905+30, 
BS40_2	 BS40_2,
BS_Per	BS Per, 
BT_Cyg	 V* BT Cyg, AN 91.1920, GSC 03570-00234, 2MASS J20001202+5041031, TYC 3570-234-1, 
BX_Eri	BX Eri, 
BY_Psc	BY Psc, 
Bbneb	 bubble nebula,
Bpneb	 bipolar nebula,
BubNeb	BubNeb,  
CS_Cyg	 V* CS Cyg, AN 73.1925, AAVSO 1944+49, 
CT_Psc	CT Psc, IRC+20019,
CU_Cet	CU Cet, 
CZ_Leo	CZ Leo, IRC+00207,
Caswell_H2O_030.81-00.06	Caswell H2O 030.81-00.06, GAL 030.82-00.06, 
Cep_B	 NAME CEPHEUS B CLOUD, NAME CEP B, 
Cloud1	Cloud1, 
Cloud2	Cloud2,
Cloud3a	Cloud3a, 
Cloud3b	Cloud3b, 
Cloud4a	Cloud4a, 
Cloud4b	Cloud4b, 
Cloud5	Cloud5, 
Cloud6a	Cloud6a, 
Cloud6b	Cloud6b, 
Cloud7	Cloud7, 
Cloud8	Cloud8, 
DE_Cas	DE Cas, 
DE_Eri	DE Eri, 
DG_Cyg	 V* DG Cyg, AN 47.1926, CIT 12, EM* VES 279, HBHA 4203-35, IRC +40442, JP11 5542, JP11 5541, JP11 5540, RAFGL 2637, SV* SVS 94, KW97 49-3, AAVSO 2039+42, 
DO_Her	 V* DO Her, AN 63.1935, CSI+23-16285, GCRV 66301, ROTSE1 J163040.95+232725.5, AAVSO 1626+23, 
DQ_Eri	DQ Eri, 
DR_Cet	DR Cet, 
DU_Cyg	 V* DU Cyg, GSC 02714-01092, 2MASS J21124293+3644177, SV* R 116, AAVSO 2108+36, 
DW_Gem	DW Gem, 
EL_Lyr	 V* EL Lyr, AN 278.1929, GSC 02657-01946, 2MASS J19132082+3203175, AAVSO 1909+31, 
EQ_Aqr	EQ Aqr, IRC -20625, 
ET_Eri	ET Eri, 
FF_Lyr	 V* FF Lyr, AN 84.1905, CSI+32-18535, GCRV 68833, AAVSO 1851+32, 
FV_Boo	FV Boo, 
FX_Mon	FX Mon, 
G069.9+01.5	G69.9+1.5, G069.9+01.5
G120.50+18.63	G120.50+18.63, 
G127.27+36.96	G127.27+36.96, 
G135.5+51.3	G135.5+51.3, 
G22.98-0.36	 G22.98-0.36,
G23.71+0.17	 G23.71+0.17,
G24.47+0.49	 G24.47+0.49,
G31.06+0.47	 G31.06+0.47,
G35.20-0.74	G35.20-0.74, 
G4859	G4859, 
G4893	G4893, 
G50.23+0.33	GAL050.23+00.33, 
G7583+04	G7583+04, 
G79.29+0.46	 NAME G79.29+0.46*, GAL 079.29+00.46, GRS 079.29 +00.46, StRS 368, 
GAL020.73-00.05	 PCC93 267, GAL 020.73-00.05, 
GAL021.04-00.06	 PCC93 269, GAL 021.04-00.06, 
GAL021.37-00.61	 PCC93 275, GAL 021.37-00.61, BE83 Maser 021.37-00.61, 
GAL030.67+00.10	 PCC93 301, GAL 030.67+00.10, 
GAL030.90+00.10	 PCC93 306, GAL 030.90+00.10, 
GAL031.06+00.09	 PCC93 311, GAL 031.06+00.09, 
GAL048.93-00.29	 WWB83 G048.93-0.29, GAL 048.93-00.29, KB94 57, KC97c G048.9-00.3, L89b 48.930-00.286, 
GAL050.32+00.68	 WC89 050.31+0.68, GAL 050.32+00.68, HC96 G50.32+0.68, 
GAL23.46-0.20	 WC89 023.46-0.20, GAL 023.46-00.20, 
GAL_043.26-00.21	GAL_043.26-00.21, IRAS 19087+0900, 
GL961E	 SB86 CRL 961 1, 2MASS J06343774+0412441, LHR84 GL 961E, 
GP_Ori	GP Ori, 
GP_Tau	GP Tau, 
GRS043.89-00.78	 GRS 043.89 -00.78, 
GSC_00438-01095	GSC 00438-01095, MDV 163, 
GSC_05412-02671	GSC 05412-02671, V897 Mon, 
GSS30_IRS	 GSS30_IRS,
GS_Sgr	GS Sgr, 2MASS J18230183-2357168, HV 4128, 
GY92_213	 AOC J162709.34-244022.5, BKLT J162709-244022, ISO-Oph 107, 2MASS J16270935-2440224, GY92 213, IKT2001 22, SKS95 162407.8-243340, 
GY92_236	 AOC J162714.49-242646.0, BKLT J162714-242646, ISO-Oph 118, 2MASS J16271450-2426460, WLY 2-33, AMD2002 J162714-242646, GY92 236, SKS95 162413.1-242005, 
GY92_284	 SKS95 162429.5-241816, BKLT J162730-242457, ISO-Oph 151, 2MASS J16273084-2424560, ROXR1 C27, GY92 284, WMR2005 4-22, WMR2005 J162730.9-242456.1, 
GY_Cyg	2MASS J22015346+4843372, GY Cyg, IRC +50415, 
Gl_Cnc	Gl Cnc, 
Gliese581	 V* HO Lib, BD-07 4003, Ci 20 923, GCRV 8863, GEN# -0.00704003, G 152-9, G 151-46, GJ 581, GSC 05594-00593, HIC 74995, HIP 74995, JP11 273, LFT 1195, LHS 394, LPM 564, LTT 6112, MCC 159, NLTT 39886, NSV 7023, 8pc 159.52, PLX 3458, UBV M 5243, UBV 13194, Wolf 562, Zkh 217, RHG95 2420, 
H-S_B	 NAME H-S B, D33 J013349.2+303809.1, EV* M33 V0330, FSZ 246, IFM-B 1004, LGGS J013349.23+303809.1, 2MASS J01334919+3038091, VHK B, HS53 B, SM2006 W21445, 
HD165014	 HD165014, 
HD168443	 G 155-11, BD-09 4692, Ci 18 2414, GC 25010, GEN# +1.00168443, GJ 4052, HD 168443, HERZ 2169, HIC 89844, HIP 89844, LTT 7289, NLTT 46302, PLX 4204.1, PPM 201623, SAO 142228, SKY# 33429, SPOCS 791, uvby98 100168443, YZC 16 6153, YZ 99 6153, 
HD53766	HD 53766, NSV 17340, 
HH12	HH 12, 
HH16_17	 HH16-17,
HH211	HH211, 
HH211_FIR	 HH211_FIR,
HH223D	HH223D, 
HH224	 WMR2005 3-17, BKLT J162716-244710, HH 224, WSB 47, WMR2005 J162717.0-244710.9, 
HH270	HH270, 
HH376VLA1	HH376VLA1, 
HH57	 HH 57, 
HH7-11C	 NAME HH 7-11 C, NAME HH 7-11C, 
HHL50	 HHL 50, BRAN 22E, GGD 20, GM 2-20, 
HK_TauB	 V* HK Tau, CSI+24-04288, GCRV 55164, Haro 6-12, HBC 48, IRAS F04288+2417, IRAS 04288+2417, 2MASS J04315056+2424180, XEST 03-005, XEST 03-OM-001, ABG2007 1374, GBA2007 1342, OMK98 22, 
HQ_Lac	HQ_Lac, HQ-Lac, 
HR4796A	 HR4796A,
HR_259	HR 259, IRC +20014, 
HU_Pup	HU Pup, 
HV_TauC	 V* HV Tau, HBC 418, 2MASS J04383528+2610386, NAME DO Tau/c, SV* SVS 1329, BCK99 HCl 2 NW-5, 
IC1396N	 NAME IC 1396 NORTH, IC 1396N, 
IC1848	IC 1848, 
IC2144	IC2144, 
IC_443	IC 443, 
IN_Her	2MASS J17020757+3412503, IN Her, 
IRAM04191+1522	 NAME IRAM 04191+1522, EQ 0419+1522, 
IRAS00001+4826	 V* IW Cas, AN 430.1928, CSI+48-00002, CSS 1347, GCRV 74888, GSC 03250-00161, IRAS 00001+4826, 2MASS J00024423+4842509, S1* 741, SV* P 2425, Vy 7, AAVSO 2357+48, 
IRAS00007+5524	 V* Y Cas, CSI+55-00007, GCRV 7, GCRV 74893, HD 225082, IRAS 00007+5524, IRC +60001, RAFGL 5, SV* HV 128, KW97 1-16, PCC93 1, 
IRAS00012+6626	IRAS 00012+6626, V398, IRC +70002, 
IRAS00017+3949	 V* SV And, AG+39 3, AN 1.1907, CSI+39-00017, DO 22669, GCRV 74917, GCRV 16, HD 225192, HIC 344, HIP 344, IRAS 00017+3949, IRC +40001, 2MASS J00042008+4006356, PPM 42530, RAFGL 8, AAVSO 2359+39, 
IRAS00020+4316	IRAS 00020+4316, SU And, IRC +40003
IRAS00040+6645	IRAS 00040+6645, 
IRAS00042+4248	 V* KU And, CIT 1, IRAS 00042+4248, IRC +40004, JP11 5537, RAFGL 14, LFO93 0004+42, 
IRAS00050-2546	 V* SY Scl, AN 150.1932, BPS CS 29503-0023, IRAS 00050-2546, IRC -30002, RAFGL 17, SV* HV 6425, M51 1, PCC93 2, AAVSO 0002-26, 
IRAS00063+2332	IRAS 00063+2332, NGC 9, 
IRAS00069+5117	 V* SS Cas, AG+51 12, AN 64.1905, CSI+51-00069, DO 22814, GCRV 77, HD 499, HIC 781, HIP 781, IRAS 00069+5117, 2MASS J00093654+5134010, PPM 25060, SV* HV 1166, AAVSO 0004+51, 
IRAS00087+5833	 V* V633 Cas, CSI+58-00088, EM* LkHA 198, FMC 1, GEN# +6.20038198, GN 00.08.8, HBC 3, HBHA 5707-01, IRAS 00087+5833, JP11 5294, NSV 72, PP 2, SV* SON 10136, KW97 1-52, 
IRAS00104+7335	 V* RV Cep, AN 32.1906, IRAS 00104+7335, AAVSO 0007+73, 
IRAS00115+2844	 V* UW And, AN 135.1910, GSC 01736-01805, IRAS 00115+2844, 2MASS J00141091+2901203, UCAC2 41997428, AAVSO 0009+28, 
IRAS00117+6412	 LEDA 2796303, GAL 118.96+01.89, GAL 118.96+01.88, IRAS 00117+6412, IRCO 2053, Mol 2, WB89 325, ZOAG G118.97+01.89, HLB98 Onsala 1, PCC93 3, 
IRAS00128-3219	 V* S Scl, CD-32 69, CPC 17 94, CPD-32 31, GC 296, GCRV 132, HD 1115, HIC 1236, HIP 1236, IRAS 00128-3219, IRC -30006, 2MASS J00152227-3202428, PPM 275844, RAFGL 40, SAO 192424, SKY# 459, SV* HV 28, MBT64 37, TTC90 1, AAVSO 0010-32, 
